"genus","condition","avg_abundance"
"Candidatus Schmidhempelia","a",0.166666666666667
"Candidatus Schmidhempelia","b",0.0666666666666667
"Candidatus Soleaferrea","a",12.4333333333333
"Candidatus Soleaferrea","b",12.5666666666667
"Candidatus Solibacter","a",0.4
"Candidatus Solibacter","b",0.466666666666667
"Candidatus Stoquefichus","a",14.3333333333333
"Candidatus Stoquefichus","b",6.37777777777778
"Candidatus Sulcia","a",0
"Candidatus Sulcia","b",0
"Candidatus Symbiobacter","a",0
"Candidatus Symbiobacter","b",0.0333333333333333
"Candidatus Symbiothrix","a",3.73333333333333
"Candidatus Symbiothrix","b",0.966666666666667
"Candidatus Tenderia","a",0.0333333333333333
"Candidatus Tenderia","b",0
"Capnocytophaga","a",0.36140350877193
"Capnocytophaga","b",0.205263157894737
"Carboxydothermus","a",0.0833333333333333
"Carboxydothermus","b",0.0333333333333333
"Carnobacterium","a",0.326666666666667
"Carnobacterium","b",0.3
"Caryophanon","a",0.0333333333333333
"Caryophanon","b",0.05
"Castellaniella","a",0.3
"Castellaniella","b",0.0833333333333333
"Catabacter","a",4.8
"Catabacter","b",4.8
"Catalinimonas","a",0.1
"Catalinimonas","b",0.0666666666666667
"Catellicoccus","a",0.0333333333333333
"Catellicoccus","b",0
"Catelliglobosispora","a",0.1
"Catelliglobosispora","b",0.1
"Catenibacterium","a",17.4833333333333
"Catenibacterium","b",13.75
"Catenulispora","a",0.1
"Catenulispora","b",0.0333333333333333
"Catonella","a",12.3
"Catonella","b",11.2666666666667
"Caulobacter","a",0.15
"Caulobacter","b",0.0833333333333333
"Caviibacter","a",0
"Caviibacter","b",0
"Cba41virus","a",0.366666666666667
"Cba41virus","b",0.0333333333333333
"Cecembia","a",0.466666666666667
"Cecembia","b",0.3
"Cedecea","a",0.133333333333333
"Cedecea","b",0
"Celeribacter","a",0.05
"Celeribacter","b",0.0666666666666667
"Cellulomonas","a",0.05
"Cellulomonas","b",0.0333333333333333
"Cellulophaga","a",0.194444444444444
"Cellulophaga","b",0.0833333333333333
"Cellulosilyticum","a",5.13333333333333
"Cellulosilyticum","b",5
"Cellulosimicrobium","a",0.166666666666667
"Cellulosimicrobium","b",0.116666666666667
"Cellvibrio","a",0.155555555555556
"Cellvibrio","b",0.244444444444444
"Centipeda","a",1.36666666666667
"Centipeda","b",1.33333333333333
"Cephaloticoccus","a",0.0666666666666667
"Cephaloticoccus","b",0
"Cesiribacter","a",0.2
"Cesiribacter","b",0.1
"Cetobacterium","a",0.566666666666667
"Cetobacterium","b",0.177777777777778
"Chamaesiphon","a",0.1
"Chamaesiphon","b",0
"Chitinilyticum","a",0.166666666666667
"Chitinilyticum","b",0.05
"Chitinimonas","a",0.0333333333333333
"Chitinimonas","b",0
"Chitiniphilus","a",0
"Chitiniphilus","b",0
"Chitinispirillum","a",0.233333333333333
"Chitinispirillum","b",0.166666666666667
"Chitinivibrio","a",0.1
"Chitinivibrio","b",0.0666666666666667
"Chitinophaga","a",0.623809523809524
"Chitinophaga","b",0.371428571428571
"Chlamydia","a",27.5666666666667
"Chlamydia","b",12.1555555555556
"Chlorobaculum","a",0.144444444444444
"Chlorobaculum","b",0.0222222222222222
"Chlorobium","a",0.18
"Chlorobium","b",0.106666666666667
"Chloroflexus","a",0.1
"Chloroflexus","b",0.0166666666666667
"Chlorogloeopsis","a",0.0333333333333333
"Chlorogloeopsis","b",0
"Choanephora","a",0.166666666666667
"Choanephora","b",0.0666666666666667
"Chondromyces","a",0.3
"Chondromyces","b",0.433333333333333
"Christensenella","a",6.08888888888889
"Christensenella","b",6.3
"Chromobacterium","a",0.0916666666666667
"Chromobacterium","b",0.0166666666666667
"Chryseobacterium","a",0.209615384615385
"Chryseobacterium","b",0.0743589743589744
"Chrysiogenes","a",0.766666666666667
"Chrysiogenes","b",0.966666666666667
"Chrysosporum","a",0
"Chrysosporum","b",0
"Chthoniobacter","a",0.166666666666667
"Chthoniobacter","b",0.0333333333333333
"Chthonomonas","a",0.366666666666667
"Chthonomonas","b",0.366666666666667
"Citrobacter","a",0.125925925925926
"Citrobacter","b",0.17037037037037
"Cloacibacillus","a",2.38333333333333
"Cloacibacillus","b",2.05
"Cloacibacterium","a",0.3
"Cloacibacterium","b",0.266666666666667
"Clostridiisalibacter","a",2.6
"Clostridiisalibacter","b",1.83333333333333
"Clostridioides","a",55.0333333333333
"Clostridioides","b",55.25
"Clostridium","a",69.4557723577236
"Clostridium","b",69.22
"Cobetia","a",0.0833333333333333
"Cobetia","b",0.1
"Cohnella","a",0.933333333333333
"Cohnella","b",0.841666666666667
"Coleofasciculus","a",0.0333333333333333
"Coleofasciculus","b",0
"Colletotrichum","a",0.0833333333333333
"Colletotrichum","b",0.0833333333333333
"Collimonas","a",0.116666666666667
"Collimonas","b",0.0666666666666667
"Collinsella","a",13.6282051282051
"Collinsella","b",15.4769230769231
"Colwellia","a",0.133333333333333
"Colwellia","b",0.075
"Comamonas","a",0.12
"Comamonas","b",0.186666666666667
"Commensalibacter","a",0.0333333333333333
"Commensalibacter","b",0
"Conexibacter","a",0.0666666666666667
"Conexibacter","b",0.0666666666666667
"Congregibacter","a",0.0666666666666667
"Congregibacter","b",0.0333333333333333
"Conidiobolus","a",0.3
"Conidiobolus","b",0.4
"Coprobacillus","a",27.9848484848485
"Coprobacillus","b",33.7242424242424
"Coprobacter","a",6.73333333333333
"Coprobacter","b",3.65
"Coprococcus","a",59.1393939393939
"Coprococcus","b",49.8030303030303
"Coprothermobacter","a",0.166666666666667
"Coprothermobacter","b",0.3
"Coraliomargarita","a",2.43333333333333
"Coraliomargarita","b",1.11666666666667
"Corallococcus","a",1.21666666666667
"Corallococcus","b",1.78333333333333
"Coriobacterium","a",0.6
"Coriobacterium","b",0.366666666666667
"Corynebacterium","a",0.0848484848484849
"Corynebacterium","b",0.0606060606060606
"Coxiella","a",0.0666666666666667
"Coxiella","b",0.0333333333333333
"Crenobacter","a",0.0333333333333333
"Crenobacter","b",0
"Criblamydia","a",0.1
"Criblamydia","b",0
"Crinalium","a",0.133333333333333
"Crinalium","b",0.133333333333333
"Crocinitomix","a",0.133333333333333
"Crocinitomix","b",0.05
"Crocosphaera","a",0.666666666666667
